Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,1137,12,12,24,0.98,117,109,8
us-003,216,12,12,24,0.9,19,19,0
eu-021,1363,0,0,0,1.0,224,224,0
us-015,3324,2,2,4,1.0,45,44,1
eu-024,255,0,0,0,1.0,40,40,0
us-024,8058,312,212,524,0.94,1359,1356,3
us-040,134,0,0,0,1.0,19,19,0
us-019,3128,28,18,46,0.99,323,378,55
us-023,858,6,2,8,0.99,96,97,1
us-010,294,0,0,0,1.0,28,27,1
us-013,677,0,446,446,0.6,22,19,3
us-030,254,1,0,1,1.0,43,43,0
eu-016,626,47,0,47,0.93,150,155,5
us-008,361,0,0,0,1.0,36,39,3
eu-010,140,0,0,0,1.0,22,22,0
eu-015,1875,1,2,3,1.0,234,234,0
eu-002,134,1,1,2,0.99,36,33,3
us-009,632,328,6,334,0.65,132,108,24
us-011a,637,1,1,2,1.0,40,39,1
us-034,861,0,57,57,0.94,287,290,3
eu-012,787,7,0,7,0.99,206,202,4
eu-014,218,0,151,151,0.59,23,17,6
us-005,170,0,0,0,1.0,10,10,0
us-016,1442,3,3,6,1.0,16,16,0
us-021,524,0,0,0,1.0,75,73,2
us-022,310,0,0,0,1.0,66,66,0
us-029,359,1,1,2,0.99,36,36,0
us-028,470,1,1,2,1.0,57,57,0
eu-006,591,5,5,10,0.98,103,102,1
us-012,686,3,639,642,0.52,124,121,3
eu-011,178,5,5,10,0.95,30,30,0
us-026,496,0,0,0,1.0,81,81,0
eu-017,575,47,0,47,0.92,135,140,5
eu-009a,430,0,0,0,1.0,31,25,6
us-037,742,11,7,18,0.98,175,166,9
us-017,6984,66,9,75,0.99,1516,1451,65
eu-027,700,1,1,2,1.0,140,140,0
eu-003,924,0,0,0,1.0,68,63,5
us-025,6678,394,311,705,0.9,985,987,2
eu-008,302,0,0,0,1.0,60,58,2
eu-001,2688,42,1,43,0.98,406,392,14
eu-005,588,0,59,59,0.91,191,143,48
us-018,12051,155,83,238,0.98,2152,2125,27
us-007,2073,6,22,28,0.99,360,235,125
us-032,716,0,6,6,0.99,15,17,2
eu-023,356,0,0,0,1.0,40,40,0
eu-025,1086,0,0,0,1.0,168,168,0
us-035a,2350,12,40,52,0.98,328,308,20
us-020,3953,1,1,2,1.0,825,825,0
eu-004,4589,33,8,41,0.99,1000,851,149
eu-026,294,40,0,40,0.88,60,64,4
us-031a,387,1,1,2,0.99,50,46,4
eu-019,270,47,0,47,0.85,90,95,5
us-033,1320,2,2,4,1.0,164,172,8
us-014,649,0,826,826,0.44,40,36,4
us-002,2851,65,400,465,0.86,433,429,4
us-004,693,2,3,5,0.99,101,89,12
eu-022,414,0,0,0,1.0,71,71,0
us-001,1876,568,58,626,0.75,392,405,13
us-038,114,0,0,0,1.0,16,16,0
us-039,87,0,0,0,1.0,14,14,0
us-027,497,12,12,24,0.95,87,86,1
eu-020,513,4,0,4,0.99,53,53,0
eu-018,613,7,18,25,0.96,207,201,6
eu-013,752,0,0,0,1.0,76,71,5
us-036,973,14,8,22,0.98,14,14,0
us-006,105,0,0,0,1.0,12,12,0
Totals,91388,2306,3452,5758,0.94,14574,14114,672
