Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,196,16,15,31,0.86,117,109,8
us-003,27,6,7,13,0.68,19,19,0
eu-021,260,1,2,3,0.99,224,224,0
us-015,578,3,4,7,0.99,45,44,1
eu-024,44,0,0,0,1.0,40,40,0
us-024,1288,235,231,466,0.73,1359,1356,3
us-040,26,0,0,0,1.0,19,19,0
us-019,469,59,188,247,0.66,323,378,55
us-023,136,4,4,8,0.94,96,97,1
us-010,62,4,2,6,0.91,28,27,1
us-013,102,0,56,56,0.65,22,19,3
us-030,51,1,2,3,0.94,43,43,0
eu-016,147,8,6,14,0.91,150,155,5
us-008,66,0,0,0,1.0,36,39,3
eu-010,28,0,0,0,1.0,22,22,0
eu-015,309,21,47,68,0.82,234,234,0
eu-002,32,1,1,2,0.94,36,33,3
us-009,99,50,6,56,0.64,132,108,24
us-011a,89,3,5,8,0.92,40,39,1
us-034,286,6,73,79,0.78,287,290,3
eu-012,199,7,0,7,0.97,206,202,4
eu-014,36,0,25,25,0.59,23,17,6
us-005,36,0,0,0,1.0,10,10,0
us-016,277,4,6,10,0.97,16,16,0
us-021,107,5,8,13,0.89,75,73,2
us-022,86,0,0,0,1.0,66,66,0
us-029,66,1,1,2,0.97,36,36,0
us-028,80,1,1,2,0.98,57,57,0
eu-006,117,5,5,10,0.92,103,102,1
us-012,168,7,132,139,0.55,124,121,3
eu-011,36,8,4,12,0.75,30,30,0
us-026,90,0,0,0,1.0,81,81,0
eu-017,132,8,6,14,0.9,135,140,5
eu-009a,67,0,0,0,1.0,31,25,6
us-037,202,6,4,10,0.95,175,166,9
us-017,1462,15,9,24,0.98,1516,1451,65
eu-027,171,2,2,4,0.98,140,140,0
eu-003,184,1,2,3,0.98,68,63,5
us-025,688,339,340,679,0.5,985,987,2
eu-008,65,0,0,0,1.0,60,58,2
eu-001,586,44,2,46,0.93,406,392,14
eu-005,152,0,11,11,0.93,191,143,48
us-018,2124,96,87,183,0.92,2152,2125,27
us-007,384,14,15,29,0.93,360,235,125
us-032,123,1,4,5,0.96,15,17,2
eu-023,69,0,0,0,1.0,40,40,0
eu-025,238,0,0,0,1.0,168,168,0
us-035a,461,10,17,27,0.94,328,308,20
us-020,877,45,92,137,0.86,825,825,0
eu-004,1021,24,16,40,0.96,1000,851,149
eu-026,76,10,2,12,0.86,60,64,4
us-031a,69,4,4,8,0.9,50,46,4
eu-019,88,7,4,11,0.89,90,95,5
us-033,176,5,5,10,0.95,164,172,8
us-014,127,0,126,126,0.5,40,36,4
us-002,464,74,123,197,0.7,433,429,4
us-004,115,2,3,5,0.96,101,89,12
eu-022,85,0,0,0,1.0,71,71,0
us-001,377,458,68,526,0.42,392,405,13
us-038,23,0,0,0,1.0,16,16,0
us-039,18,0,0,0,1.0,14,14,0
us-027,84,14,16,30,0.74,87,86,1
eu-020,71,13,9,22,0.76,53,53,0
eu-018,188,17,33,50,0.79,207,201,6
eu-013,151,0,0,0,1.0,76,71,5
us-036,151,18,24,42,0.78,14,14,0
us-006,15,0,0,0,1.0,12,12,0
Totals,16877,1683,1855,3538,0.88,14574,14114,672
