Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,95,117,51,168,0.36,99,109,10
us-003,8,25,5,30,0.21,19,19,0
eu-021,33,228,12,240,0.12,197,224,27
us-015,230,351,10,361,0.39,21,44,23
eu-024,1,43,0,43,0.02,3,40,37
us-024,257,1266,200,1466,0.15,713,1356,643
us-040,5,21,0,21,0.19,6,19,13
us-019,71,457,78,535,0.12,168,378,210
us-023,44,96,4,100,0.31,96,97,1
us-010,3,63,25,88,0.03,5,27,22
us-013,28,74,8,82,0.25,11,19,8
us-030,22,30,15,45,0.33,31,43,12
eu-016,38,117,23,140,0.21,123,155,32
us-008,23,43,10,53,0.3,25,39,14
eu-010,2,26,1,27,0.07,11,22,11
eu-015,9,321,2,323,0.03,25,234,209
eu-002,1,32,2,34,0.03,10,33,23
us-009,12,137,0,137,0.08,63,108,45
us-011a,49,43,6,49,0.5,27,39,12
us-034,3,289,4,293,0.01,160,290,130
eu-012,14,192,21,213,0.06,133,202,69
eu-014,0,36,0,36,0.0,0,17,17
us-005,0,36,0,36,0.0,0,10,10
us-016,18,263,0,263,0.06,7,16,9
us-021,49,63,7,70,0.41,73,73,0
us-022,10,76,4,80,0.11,62,66,4
us-029,1,66,7,73,0.01,24,36,12
us-028,29,52,8,60,0.33,54,57,3
eu-006,18,104,9,113,0.14,82,102,20
us-012,0,175,0,175,0.0,0,121,121
eu-011,17,27,6,33,0.34,30,30,0
us-026,13,77,8,85,0.13,57,81,24
eu-017,29,111,28,139,0.17,111,140,29
eu-009a,21,46,6,52,0.29,17,25,8
us-037,52,156,36,192,0.21,111,166,55
us-017,64,1413,42,1455,0.04,654,1451,797
eu-027,37,136,10,146,0.2,108,140,32
eu-003,15,170,14,184,0.08,11,63,52
us-025,38,989,175,1164,0.03,279,987,708
eu-008,6,59,5,64,0.09,59,58,1
eu-001,75,555,37,592,0.11,220,392,172
eu-005,0,152,0,152,0.0,0,143,143
us-018,85,2135,94,2229,0.04,701,2125,1424
us-007,14,384,4,388,0.03,158,235,77
us-032,63,61,45,106,0.37,24,17,7
eu-023,2,67,1,68,0.03,30,40,10
eu-025,31,207,3,210,0.13,70,168,98
us-035a,120,351,68,419,0.22,312,308,4
us-020,164,758,65,823,0.17,740,825,85
eu-004,198,847,45,892,0.18,614,851,237
eu-026,22,64,19,83,0.21,65,64,1
us-031a,6,67,0,67,0.08,31,46,15
eu-019,15,80,15,95,0.14,94,95,1
us-033,1,180,3,183,0.01,30,172,142
us-014,40,87,8,95,0.3,22,36,14
us-002,98,440,49,489,0.17,382,429,47
us-004,32,85,2,87,0.27,62,89,27
eu-022,1,84,0,84,0.01,14,71,57
us-001,48,787,40,827,0.05,357,405,48
us-038,4,19,3,22,0.15,14,16,2
us-039,12,6,0,6,0.67,8,14,6
us-027,10,88,5,93,0.1,41,86,45
eu-020,14,70,1,71,0.16,28,53,25
eu-018,21,184,19,203,0.09,109,201,92
eu-013,0,151,0,151,0.0,25,71,46
us-036,105,64,43,107,0.5,16,14,2
us-006,2,13,7,20,0.09,7,12,5
Totals,2548,16012,1418,17430,0.16,7859,14114,6285
