Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,1146,3,67,70,0.94,303,109,194
us-003,222,6,6,12,0.95,26,19,7
eu-021,1283,80,42,122,0.91,177,224,47
us-015,3291,35,3453,3488,0.49,355,44,311
eu-024,253,2,101,103,0.71,102,40,62
us-024,7788,582,411,993,0.89,270,1356,1086
us-040,70,64,0,64,0.52,16,19,3
us-019,3054,102,128,230,0.93,157,378,221
us-023,858,6,141,147,0.85,42,97,55
us-010,235,59,32,91,0.72,29,27,2
us-013,677,0,14,14,0.98,56,19,37
us-030,234,21,12,33,0.88,38,43,5
eu-016,625,48,3,51,0.92,102,155,53
us-008,361,0,0,0,1.0,42,39,3
eu-010,140,0,0,0,1.0,41,22,19
eu-015,1869,7,402,409,0.82,326,234,92
eu-002,134,1,1,2,0.99,31,33,2
us-009,638,322,23,345,0.65,94,108,14
us-011a,550,88,4,92,0.86,73,39,34
us-034,775,86,0,86,0.9,46,290,244
eu-012,774,20,174,194,0.8,241,202,39
eu-014,218,0,0,0,1.0,40,17,23
us-005,170,0,1,1,0.99,22,10,12
us-016,1445,0,1483,1483,0.49,162,16,146
us-021,524,0,114,114,0.82,38,73,35
us-022,277,33,2,35,0.89,126,66,60
us-029,340,20,0,20,0.94,42,36,6
us-028,445,26,3,29,0.94,84,57,27
eu-006,592,4,5,9,0.99,151,102,49
us-012,674,15,11,26,0.96,88,121,33
eu-011,181,2,188,190,0.49,16,30,14
us-026,484,12,24,36,0.93,54,81,27
eu-017,555,67,5,72,0.89,93,140,47
eu-009a,338,92,1,93,0.78,45,25,20
us-037,612,141,68,209,0.75,41,166,125
us-017,4243,2807,70,2877,0.6,185,1451,1266
eu-027,591,110,22,132,0.82,79,140,61
eu-003,924,0,831,831,0.53,288,63,225
us-025,4316,2756,257,3013,0.59,166,987,821
eu-008,226,76,1,77,0.75,30,58,28
eu-001,2579,151,145,296,0.9,464,392,72
eu-005,580,8,17,25,0.96,134,143,9
us-018,5844,6362,88,6450,0.48,231,2125,1894
us-007,2014,65,22,87,0.96,262,235,27
us-032,708,8,9,17,0.98,51,17,34
eu-023,346,10,3,13,0.96,36,40,4
eu-025,1027,59,41,100,0.91,208,168,40
us-035a,2056,306,35,341,0.86,157,308,151
us-020,3952,2,144,146,0.96,164,825,661
eu-004,4547,75,55,130,0.97,783,851,68
eu-026,333,1,177,178,0.65,84,64,20
us-031a,387,1,14,15,0.96,53,46,7
eu-019,302,15,5,20,0.94,65,95,30
us-033,155,1167,10,1177,0.12,30,172,142
us-014,649,0,98,98,0.87,64,36,28
us-002,2873,43,137,180,0.94,93,429,336
us-004,659,36,18,54,0.92,56,89,33
eu-022,179,235,2,237,0.43,70,71,1
us-001,1922,522,162,684,0.74,143,405,262
us-038,114,0,0,0,1.0,35,16,19
us-039,87,0,0,0,1.0,35,14,21
us-027,472,37,50,87,0.84,71,86,15
eu-020,497,20,59,79,0.86,83,53,30
eu-018,470,150,18,168,0.74,88,201,113
eu-013,744,8,778,786,0.49,254,71,183
us-036,952,35,18,53,0.95,47,14,33
us-006,105,0,0,0,1.0,17,12,5
Totals,76685,17009,10205,27214,0.82,8095,14114,9793
