Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,205,7,20,27,0.88,303,109,194
us-003,27,6,6,12,0.69,26,19,7
eu-021,206,55,48,103,0.67,177,224,47
us-015,542,39,618,657,0.45,355,44,311
eu-024,41,3,19,22,0.65,102,40,62
us-024,1003,520,549,1069,0.48,270,1356,1086
us-040,12,14,0,14,0.46,16,19,3
us-019,390,138,280,418,0.48,157,378,221
us-023,128,12,36,48,0.73,42,97,55
us-010,45,21,18,39,0.54,29,27,2
us-013,90,12,13,25,0.78,56,19,37
us-030,42,10,12,22,0.66,38,43,5
eu-016,128,27,30,57,0.69,102,155,53
us-008,66,0,0,0,1.0,42,39,3
eu-010,28,0,0,0,1.0,41,22,19
eu-015,196,134,193,327,0.37,326,234,92
eu-002,32,1,1,2,0.94,31,33,2
us-009,100,49,19,68,0.6,94,108,14
us-011a,73,19,8,27,0.73,73,39,34
us-034,258,34,34,68,0.79,46,290,244
eu-012,182,24,95,119,0.6,241,202,39
eu-014,36,0,0,0,1.0,40,17,23
us-005,36,0,1,1,0.97,22,10,12
us-016,278,3,298,301,0.48,162,16,146
us-021,106,6,27,33,0.76,38,73,35
us-022,71,15,1,16,0.82,126,66,60
us-029,53,14,2,16,0.77,42,36,6
us-028,65,16,7,23,0.74,84,57,27
eu-006,113,9,9,18,0.86,151,102,49
us-012,162,13,16,29,0.85,88,121,33
eu-011,42,2,34,36,0.54,16,30,14
us-026,78,12,3,15,0.84,54,81,27
eu-017,104,36,38,74,0.58,93,140,47
eu-009a,53,14,1,15,0.78,45,25,20
us-037,131,77,50,127,0.51,41,166,125
us-017,855,622,82,704,0.55,185,1451,1266
eu-027,141,32,24,56,0.72,79,140,61
eu-003,177,8,228,236,0.43,288,63,225
us-025,379,648,298,946,0.29,166,987,821
eu-008,43,22,13,35,0.55,30,58,28
eu-001,461,169,115,284,0.62,464,392,72
eu-005,144,8,18,26,0.85,134,143,9
us-018,997,1223,147,1370,0.42,231,2125,1894
us-007,362,36,27,63,0.85,262,235,27
us-032,122,2,9,11,0.92,51,17,34
eu-023,64,5,3,8,0.89,36,40,4
eu-025,178,60,44,104,0.63,208,168,40
us-035a,343,128,46,174,0.66,157,308,151
us-020,868,54,137,191,0.82,164,825,661
eu-004,983,62,68,130,0.88,783,851,68
eu-026,84,2,41,43,0.66,84,64,20
us-031a,70,3,16,19,0.79,53,46,7
eu-019,85,10,15,25,0.77,65,95,30
us-033,21,160,14,174,0.11,30,172,142
us-014,120,7,21,28,0.81,64,36,28
us-002,493,45,65,110,0.82,93,429,336
us-004,87,30,22,52,0.63,56,89,33
eu-022,27,58,4,62,0.3,70,71,1
us-001,307,528,201,729,0.3,143,405,262
us-038,23,0,0,0,1.0,35,16,19
us-039,18,0,0,0,1.0,35,14,21
us-027,72,26,34,60,0.55,71,86,15
eu-020,75,9,15,24,0.76,83,53,30
eu-018,123,82,47,129,0.49,88,201,113
eu-013,137,14,151,165,0.45,254,71,183
us-036,133,36,40,76,0.64,47,14,33
us-006,15,0,0,0,1.0,17,12,5
Totals,13129,5431,4431,9862,0.68,8095,14114,9793
