Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,1149,0,967,967,0.54,99,109,10
us-003,222,6,234,240,0.48,19,19,0
eu-021,1362,1,1178,1179,0.54,197,224,27
us-015,3091,235,71,306,0.91,21,44,23
eu-024,37,218,1,219,0.14,3,40,37
us-024,8118,252,5792,6044,0.57,713,1356,643
us-040,81,53,11,64,0.56,6,19,13
us-019,2816,340,372,712,0.8,168,378,210
us-023,862,2,800,802,0.52,96,97,1
us-010,211,83,197,280,0.43,5,27,22
us-013,513,164,3,167,0.75,11,19,8
us-030,239,16,137,153,0.61,31,43,12
eu-016,673,0,545,545,0.55,123,155,32
us-008,358,3,184,187,0.66,25,39,14
eu-010,70,70,46,116,0.38,11,22,11
eu-015,317,1559,9,1568,0.17,25,234,209
eu-002,74,61,10,71,0.51,10,33,23
us-009,652,308,242,550,0.54,63,108,45
us-011a,629,9,233,242,0.72,27,39,12
us-034,836,25,512,537,0.61,160,290,130
eu-012,774,20,262,282,0.73,133,202,69
eu-014,0,218,0,218,0.0,0,17,17
us-005,0,170,0,170,0.0,0,10,10
us-016,220,1225,12,1237,0.15,7,16,9
us-021,524,0,526,526,0.5,73,73,0
us-022,307,3,201,204,0.6,62,66,4
us-029,56,304,48,352,0.14,24,36,12
us-028,467,4,427,431,0.52,54,57,3
eu-006,590,6,318,324,0.65,82,102,20
us-012,0,689,0,689,0.0,0,121,121
eu-011,183,0,183,183,0.5,30,30,0
us-026,478,18,386,404,0.54,57,81,24
eu-017,622,0,508,508,0.55,111,140,29
eu-009a,341,89,61,150,0.69,17,25,8
us-037,753,0,519,519,0.59,111,166,55
us-017,6804,246,624,870,0.89,654,1451,797
eu-027,696,5,628,633,0.52,108,140,32
eu-003,295,629,1,630,0.32,11,63,52
us-025,5372,1700,418,2118,0.72,279,987,708
eu-008,302,0,294,294,0.51,59,58,1
eu-001,2531,199,391,590,0.81,220,392,172
eu-005,0,588,0,588,0.0,0,143,143
us-018,10611,1595,337,1932,0.85,701,2125,1424
us-007,696,1383,106,1489,0.32,158,235,77
us-032,714,2,446,448,0.61,24,17,7
eu-023,167,189,127,316,0.35,30,40,10
eu-025,891,195,63,258,0.78,70,168,98
us-035a,2351,11,2069,2080,0.53,312,308,4
us-020,3954,0,3594,3594,0.52,740,825,85
eu-004,4614,8,1794,1802,0.72,614,851,237
eu-026,334,0,390,390,0.46,65,64,1
us-031a,292,96,68,164,0.64,31,46,15
eu-019,317,0,219,219,0.59,94,95,1
us-033,284,1038,14,1052,0.21,30,172,142
us-014,638,11,160,171,0.79,22,36,14
us-002,2877,39,2093,2132,0.57,382,429,47
us-004,680,15,376,391,0.63,62,89,27
eu-022,122,292,18,310,0.28,14,71,57
us-001,2114,330,1548,1878,0.53,357,405,48
us-038,112,2,64,66,0.63,14,16,2
us-039,87,0,87,87,0.5,8,14,6
us-027,424,85,52,137,0.76,41,86,45
eu-020,431,86,89,175,0.71,28,53,25
eu-018,571,49,347,396,0.59,109,201,92
eu-013,172,580,36,616,0.22,25,71,46
us-036,984,3,678,681,0.59,16,14,2
us-006,78,27,36,63,0.55,7,12,5
Totals,78140,15554,32162,47716,0.52,7859,14114,6285
