Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,179,33,215,248,0.42,99,109,10
us-003,27,6,39,45,0.38,19,19,0
eu-021,218,43,236,279,0.44,197,224,27
us-015,337,244,147,391,0.46,21,44,23
eu-024,1,43,3,46,0.02,3,40,37
us-024,1078,445,1252,1697,0.39,713,1356,643
us-040,10,16,10,26,0.28,6,19,13
us-019,317,211,347,558,0.36,168,378,210
us-023,134,6,136,142,0.49,96,97,1
us-010,8,58,60,118,0.06,5,27,22
us-013,49,53,27,80,0.38,11,19,8
us-030,38,14,38,52,0.42,31,43,12
eu-016,100,55,146,201,0.33,123,155,32
us-008,57,9,43,52,0.52,25,39,14
eu-010,12,16,14,30,0.29,11,22,11
eu-015,35,295,25,320,0.1,25,234,209
eu-002,8,25,10,35,0.19,10,33,23
us-009,82,67,60,127,0.39,63,108,45
us-011a,67,25,57,82,0.45,27,39,12
us-034,233,59,223,282,0.45,160,290,130
eu-012,138,68,126,194,0.42,133,202,69
eu-014,0,36,0,36,0.0,0,17,17
us-005,0,36,0,36,0.0,0,10,10
us-016,30,251,12,263,0.1,7,16,9
us-021,106,6,124,130,0.45,73,73,0
us-022,74,12,72,84,0.47,62,66,4
us-029,18,49,18,67,0.21,24,36,12
us-028,65,16,73,89,0.42,54,57,3
eu-006,103,19,93,112,0.48,82,102,20
us-012,0,175,0,175,0.0,0,121,121
eu-011,44,0,44,44,0.5,30,30,0
us-026,68,22,70,92,0.43,57,81,24
eu-017,95,45,143,188,0.34,111,140,29
eu-009a,23,44,35,79,0.23,17,25,8
us-037,168,40,156,196,0.46,111,166,55
us-017,906,571,663,1234,0.42,654,1451,797
eu-027,117,56,135,191,0.38,108,140,32
eu-003,39,146,25,171,0.19,11,63,52
us-025,202,825,480,1305,0.13,279,987,708
eu-008,59,6,63,69,0.46,59,58,1
eu-001,330,300,184,484,0.41,220,392,172
eu-005,0,152,0,152,0.0,0,143,143
us-018,1125,1095,1009,2104,0.35,701,2125,1424
us-007,174,224,158,382,0.31,158,235,77
us-032,100,24,112,136,0.42,24,17,7
eu-023,26,43,38,81,0.24,30,40,10
eu-025,109,129,97,226,0.33,70,168,98
us-035a,394,77,492,569,0.41,312,308,4
us-020,790,132,972,1104,0.42,740,825,85
eu-004,697,348,675,1023,0.41,614,851,237
eu-026,78,8,96,104,0.43,65,64,1
us-031a,44,29,34,63,0.41,31,46,15
eu-019,46,49,72,121,0.28,94,95,1
us-033,33,148,31,179,0.16,30,172,142
us-014,91,36,67,103,0.47,22,36,14
us-002,468,70,444,514,0.48,382,429,47
us-004,92,25,84,109,0.46,62,89,27
eu-022,12,73,16,89,0.12,14,71,57
us-001,361,474,457,931,0.28,357,405,48
us-038,18,5,20,25,0.42,14,16,2
us-039,18,0,18,18,0.5,8,14,6
us-027,50,48,48,96,0.34,41,86,45
eu-020,51,33,39,72,0.41,28,53,25
eu-018,106,99,136,235,0.31,109,201,92
eu-013,37,114,35,149,0.2,25,71,46
us-036,137,32,157,189,0.42,16,14,2
us-006,9,6,9,15,0.38,7,12,5
Totals,10641,7919,10920,18839,0.33,7859,14114,6285
