Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,1147,2,64,66,0.95,0,109,109
us-003,226,2,2,4,0.98,0,19,19
eu-021,1356,7,1,8,0.99,0,224,224
us-015,3287,39,3365,3404,0.49,0,44,44
eu-024,255,0,150,150,0.63,0,40,40
us-024,8146,224,372,596,0.93,0,1356,1356
us-040,134,0,0,0,1.0,0,19,19
us-019,3097,59,217,276,0.92,0,378,378
us-023,861,3,132,135,0.86,0,97,97
us-010,289,5,437,442,0.4,0,27,27
us-013,677,0,0,0,1.0,0,19,19
us-030,250,5,2,7,0.97,0,43,43
eu-016,642,31,2,33,0.95,0,155,155
us-008,361,0,0,0,1.0,0,39,39
eu-010,140,0,0,0,1.0,0,22,22
eu-015,1859,17,254,271,0.87,0,234,234
eu-002,135,0,0,0,1.0,0,33,33
us-009,638,322,0,322,0.66,0,108,108
us-011a,638,0,0,0,1.0,0,39,39
us-034,848,13,412,425,0.67,0,290,290
eu-012,792,2,138,140,0.85,0,202,202
eu-014,218,0,0,0,1.0,0,17,17
us-005,170,0,0,0,1.0,0,10,10
us-016,1442,3,1472,1475,0.49,0,16,16
us-021,524,0,106,106,0.83,0,73,73
us-022,310,0,2,2,0.99,0,66,66
us-029,360,0,0,0,1.0,0,36,36
us-028,468,3,0,3,0.99,0,57,57
eu-006,596,0,0,0,1.0,0,102,102
us-012,685,4,3,7,0.99,0,121,121
eu-011,183,0,185,185,0.5,0,30,30
us-026,483,13,25,38,0.93,0,81,81
eu-017,602,20,2,22,0.96,0,140,140
eu-009a,422,8,7,15,0.97,0,25,25
us-037,751,2,70,72,0.91,0,166,166
us-017,4220,2830,75,2905,0.59,0,1451,1451
eu-027,683,18,103,121,0.85,0,140,140
eu-003,924,0,920,920,0.5,0,63,63
us-025,4479,2593,182,2775,0.62,0,987,987
eu-008,296,6,4,10,0.97,0,58,58
eu-001,2592,138,36,174,0.94,0,392,392
eu-005,586,2,3,5,0.99,0,143,143
us-018,6195,6011,22,6033,0.51,0,2125,2125
us-007,2077,2,2,4,1.0,0,235,235
us-032,716,0,10,10,0.99,0,17,17
eu-023,356,0,0,0,1.0,0,40,40
eu-025,1078,8,10,18,0.98,0,168,168
us-035a,2349,13,2,15,0.99,0,308,308
us-020,3919,35,117,152,0.96,0,825,825
eu-004,4570,52,28,80,0.98,0,851,851
eu-026,334,0,232,232,0.59,0,64,64
us-031a,388,0,0,0,1.0,0,46,46
eu-019,287,30,0,30,0.91,0,95,95
us-033,150,1172,0,1172,0.11,0,172,172
us-014,649,0,94,94,0.87,0,36,36
us-002,2885,31,131,162,0.95,0,429,429
us-004,694,1,0,1,1.0,0,89,89
eu-022,411,3,3,6,0.99,0,71,71
us-001,2048,396,51,447,0.82,0,405,405
us-038,114,0,0,0,1.0,0,16,16
us-039,87,0,0,0,1.0,0,14,14
us-027,509,0,168,168,0.75,0,86,86
eu-020,517,0,67,67,0.89,0,53,53
eu-018,564,56,0,56,0.91,0,201,201
eu-013,752,0,772,772,0.49,0,71,71
us-036,982,5,3,8,0.99,0,14,14
us-006,105,0,0,0,1.0,0,12,12
Totals,79508,14186,10455,24641,0.86,0,14114,14114
