Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,209,3,14,17,0.92,0,109,109
us-003,31,2,2,4,0.89,0,19,19
eu-021,253,8,1,9,0.97,0,224,224
us-015,540,41,568,609,0.47,0,44,44
eu-024,44,0,24,24,0.65,0,40,40
us-024,1273,250,223,473,0.73,0,1356,1356
us-040,26,0,0,0,1.0,0,19,19
us-019,428,100,295,395,0.52,0,378,378
us-023,136,4,28,32,0.81,0,97,97
us-010,58,8,78,86,0.4,0,27,27
us-013,102,0,0,0,1.0,0,19,19
us-030,47,5,8,13,0.78,0,43,43
eu-016,118,37,15,52,0.69,0,155,155
us-008,66,0,0,0,1.0,0,39,39
eu-010,28,0,0,0,1.0,0,22,22
eu-015,291,39,88,127,0.7,0,234,234
eu-002,33,0,0,0,1.0,0,33,33
us-009,105,44,0,44,0.7,0,108,108
us-011a,92,0,0,0,1.0,0,39,39
us-034,276,16,330,346,0.44,0,290,290
eu-012,200,6,50,56,0.78,0,202,202
eu-014,36,0,0,0,1.0,0,17,17
us-005,36,0,0,0,1.0,0,10,10
us-016,275,6,296,302,0.48,0,16,16
us-021,107,5,27,32,0.77,0,73,73
us-022,84,2,2,4,0.95,0,66,66
us-029,67,0,0,0,1.0,0,36,36
us-028,78,3,0,3,0.96,0,57,57
eu-006,122,0,0,0,1.0,0,102,102
us-012,171,4,5,9,0.95,0,121,121
eu-011,44,0,31,31,0.59,0,30,30
us-026,77,13,4,17,0.82,0,81,81
eu-017,114,26,15,41,0.74,0,140,140
eu-009a,60,7,6,13,0.82,0,25,25
us-037,205,3,11,14,0.94,0,166,166
us-017,893,584,19,603,0.6,0,1451,1451
eu-027,146,27,24,51,0.74,0,140,140
eu-003,183,2,183,185,0.5,0,63,63
us-025,483,544,204,748,0.39,0,987,987
eu-008,61,4,2,6,0.91,0,58,58
eu-001,516,114,12,126,0.8,0,392,392
eu-005,150,2,2,4,0.97,0,143,143
us-018,1165,1055,26,1081,0.52,0,2125,2125
us-007,396,2,2,4,0.99,0,235,235
us-032,124,0,2,2,0.98,0,17,17
eu-023,69,0,0,0,1.0,0,40,40
eu-025,223,15,9,24,0.9,0,168,168
us-035a,458,13,1,14,0.97,0,308,308
us-020,835,87,119,206,0.8,0,825,825
eu-004,995,50,27,77,0.93,0,851,851
eu-026,84,2,51,53,0.61,0,64,64
us-031a,71,2,4,6,0.92,0,46,46
eu-019,59,36,12,48,0.55,0,95,95
us-033,23,158,13,171,0.12,0,172,172
us-014,127,0,14,14,0.9,0,36,36
us-002,507,31,30,61,0.89,0,429,429
us-004,116,1,1,2,0.98,0,89,89
eu-022,83,2,2,4,0.95,0,71,71
us-001,427,408,48,456,0.48,0,405,405
us-038,23,0,0,0,1.0,0,16,16
us-039,18,0,0,0,1.0,0,14,14
us-027,93,5,36,41,0.69,0,86,86
eu-020,82,2,15,17,0.83,0,53,53
eu-018,137,68,26,94,0.59,0,201,201
eu-013,150,1,141,142,0.51,0,71,71
us-036,155,14,20,34,0.82,0,14,14
us-006,15,0,0,0,1.0,0,12,12
Totals,14699,3861,3166,7027,0.8,0,14114,14114
