0,1,2,3,4,5,6
Germany,per capita,‘population,‘Number of, , ,Retail sales
France,GNP ($000),1995 (mn),retail outlets,‘inhabitants,Retail,per outlet
UK,1995,81.9,(000),per outlet,sales,(Ecu 000)
[taly,27.5,_ 58.1,415.3,196,(Ecu bn),898
Spain,25.0,58.6,343.4,169,373,850
Netherlands,18.7,573,289.9,202,292,803
Belgium/Lux,19.0,39.3,627.2,91,233,496
Greece,13.6,15.4,440.2,89,311,202
Portugal,24.0,10.6,123.3,125,89,494
Sweden,25.7,10.4,110,92,61,300
Au:,8.2,9.9,170.7,61,33,147
Denmark,9.7,8.8,130.4,76,25,—200—
Finland,23.8,8.1,52.8,167,26,547
Ireland,26.9,5.2,37.7,214,29,822
EUI1S Total,29.9,5.1,40.9,128,31,684
 ,20.6,3.6, ,162,28,694
,14.7,372.3,,101,22,334
,, ,,115,12,549
,, ,, ,1565, 
,, ,, , , 
,,,, , , 
,,,, , , 
,,,,, ,
,,,,, ,
,,,,, ,
,,,,, ,
,,,,, ,
,,,,, ,
,,,,, ,
,,,,, ,
,,,,,,
