0
bomestic(%) Peer) known (6)
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
"Austria 86.2 138 0 3,375"
"| Belgium 0 0 100.0 3,973"
"Bulgaria 0 0 1000 1,136"
Cyprus 81.0 38 15.2 158
""" Czech Republic 98.6 14 0 17,655"
"Denmark 31 10.2 86.7 1,662"
Estonia 94.2 58 0 430
"Finland 136 83.0 34 2,737"
"France 0 0 100.0 5,510"
"| Germany 90.5 44 5A 55,400"
"Hungary 998 0.2 0 6,575"
Ireland 33.9 31.6 345 440
"Italy 0 0 100.0 4,499"
"""Latvia 98.1 19 0 619"
"""Lithuania 99.0 1.0 0 2,270"
Luxembourg 93.9 6.1 0 163
Malta 96.5 35 0 85
"Netherlands 87.1 129 0 1,245"
"| Poland 0 0 100.0 11,155"
| Portugal 0 1.0 99.0 482
Romania 0 0 100.0 620
""" Slovakia 99.4 06 0 8,367"
"| Slovenia 0 0 100.0 1,346"
"Spain 100.0 0 0 3,658"
"Sweden 23.9 237 24 3,930"
"United Kingdom 24.0 214 54.6 13,802"
"EU Total 65.1 79 27.0 151,292"
Iceland 19.4 66.7 14.0 93
Liechtenstein 0 0 100.0 1
 
"Norway 237 72.2 41 1,649"

