0,1,2,3
Tre...,Count,Suffered,Followed
Allergy problems,?ercentage,from,treatment
Anxiety disorder,Count,93,77
Asthma,?ercentage,18.8%,15.6%
Chronic fatigue,Count,81,29
syndrome,?ercentage,16.4%,5.9%
Depression,Count,31,22
Diabetes,?ercentage,6.3%,44%
Sexually transmitted,Count,19,a
diseases,?ercentage,3.8%,0.8%
AIV infection,Count,48,12
Substance abuse,?ercentage,9.7%,2.4%
oroblem,Count,1,1
3ack pain,?ercentage,0.2%,0.2%
Broken bone/fracture,Count,7,7
3Bronchitis/ear or,?ercentage,1.4%,1.4%
sinus infection,Count,0,0
Endometriosis,?ercentage,0.0%,0.0%
,Count,10,0
,?ercentage,2.0%,0%
,Count,202,56
,?ercentage,40.9%,11.3%
,Count,12,12
,?ercentage,24%,2.4%
,Count,104,87
,Percentage,21.1%,17.6%
,,6,5
,,1.2%,1.0%
,,,
