0,1,2,3,4,5,6
Category, ,ee,Difference,Margin of,Margin of,difference
All people .,ae,Margin of,*-0.5,Estimate error (+),Estimate | error (+),0.2
 ,timate wlargin ot,Estimate | error (+),0.8,18.7 0.3,18.7 03,0.2
Male. .,‘error (+),18.1 0.3,07!,|,17.4 04,0.1
Female,18.6 0.3,17.6 04,0.5,17.3 0.4,198 o4!,0.2
 ,17.9 0.4,18.3 04, ,20.1 0.3,18.5 03,0.6
  ,19.0 0.3,174 03,,18.6 0.3,19.8 04,0.5
White alone... .,17.9 0.3,17.6 04,,19.7 0.4,20.3 07,0.1
Not Hispanic. .,18.1 0.4,22.2 07,,20.4 0.7,20.7 07,
Black alone .,23.2 0.7,22.3 07,,20.7 07,13.0 1.0,
Not Hispanic. .,23.3 07,145 14,,12.4 1.2,13.0,
Asian Alone .,14.5 1.3,14.4,,12.5 1.2,1,
Not Hispanic. . .,14.6 1.3,1,,13.1 O07,13.2 0.6,
Hispanic or Latino .......,184 09,17.8 0.7,,,,
  ,,,,,,
 ,,,,,,
,,,,,,
