0,1,2,3,4
Region and state,Actual 2003-04,2008-09 to 2015-16, ,2008-09 to 2021-22
United States,to 2008-09,0.9,Projec ed,47
Northeast,10.4,0.6,2015-16 to 2021-22,-0.1
Connecticut,13.9, , ,3
Maine,V1,,,13.4
Massachusetts,6.1,,,-5.0
New Hampshire,11.9,,,14.3
New Jersey,10.9,,,4.1
New York,13.4,,, 
Pennsylvania,,,, 
Rhode Island,,,,
Vermont,,,,
Midwest,,,,
Illinois,,,,
Indiana,,,,
lowa,,,,
Kansas,,,,
Michigan,,,,
Minnesota,,,,
Missouri,,,,
Nebraska,,,,
North Dakota,,,,
Ohio,,,,
South Dakota,,,,
Wisconsin,,,,
South,,,,
Alabama,,,,
Arkansas,,,,
Delaware,,,,
District of Colun.sia,,,,
Florida,,,,
Georgia,,,,
Kentucky,,,,
Louisiana,,,,
Maryland,,,,
Mississippi,,,,
North Carolina,,,,
Oklahoma,,,,
South Carolina,,,,
Tennessee,,,,
Texas,,,,
Virginia,,,,
West Virginia,,,,
West,,,,
Alaska,,,,
Arizona,,,,
California,,,,
Colorado,,,,
Hawaii,,,,
Idaho,,,,
Montana,,,,
Nevada,,,,
New Mexico,,,,
Oregon,,,,
Utah,,,,
Washington,,,,
Wyoming,,,,
OTE,,,,
,,,,
