0,1,2,3,4,5,6,7,8,9
nye,Ameri,uindiat,daska Native,Asian/ Pav,ander, ,Black, ,White
group, , ,(95% Cl),No.,(95% Cl),No.,Rate (95% Cl),"1,856",Rate (95% Cl)
(yrs),No.,Rate,(10.2-24.5),109,(8.4-12.3), , ,"3,307", 
Women,19,16.2,(59.4-102.5),202,(24.8-32.7),875,313 (29.3-33.4),"6,918",10.4 (9.9-10.8)
45-54,22,78.8,(2175-3258),322,(72.0-89.6),"1,090",61.1 (57.5-64.7),"21,943",24.1 (23.2-24.9)
55-64,55,267.6,"(524,7-7715)",669,(262.7-305.7),"1,565",148.9 (141.5-156.3),"35,698",79.3 (77.4-81.1)
65-74,99,648.1,(56.3-70.6),621,(715.9-838.2),"2,701",415.6 (400.0-431.3),"69,722",321.5 (317.2-325.7)
75-84,106,63.4,(11.2-22.9),"1,923",(74.5-81.4),"2,901","1,060.5 (1,021.9-1,099.1)","2,279","1,102.2 (1,090.8-1,113.7)"
285,301,16.3,(25.4-47.0),126,(11.1-15.8),"9,132",139.4 (136.5-142.3),"4,110",138.2 (137.1-139.2)
Total,33,35.0,(61.5-109.3),220,(31.5-41.1),"1,044",43.5  (40.9-46.2),"7,312",128 (12.3-13.4)
Men,50,82.9,(128.5-231.1),357,(97.6-120.2),"1,523",105.9 (100.6-111.3),"16,041",315 (30.5-32.4)
45-54,48,1743,(227.0-501.2),477,(268.5-321.4),"1,644",2187 — (208.1-229.2),"14,311",97.1 (94.9-99.3)
55-64,27,344.5,(41.1-54.2),a7,(782.8-949.0),"1,741",471.1 {449.0-493.2),"44,053",338.5 — (333.2-343.7)
65-74,202,47.6,,"1,597",(73.0-80.5),987,882.0 (827.0-937.0), ,941.3 (925.9-956.7)
75-84,,,, ,,"6,939",136.9 _(133.7-140.1),,98.8 —_(97.9-99.7)
285,,,, ,, ,,,
Total,,,,Rate,,,,,
 ,,,, ,,,,,
,,,,10.4,,,,,
,,,,28.8,,,,,
,,,,80.8,,,,,
,,,,284.2,,,,,
,,,,777.0,,,,,
,,,,779,,,,,
,,,,13.4,,,,,
,,,,36.3,,,,,
,,,,108.9,,,,,
,,,,294.9,,,,,
,,,,865.9,,,,,
,,,,76.7,,,,,
,,,,,,,,,
