0,1,2,3,4
Age,Total,Age,Total,Age Total
Under 1 year,population,40 years,population,population
years,"3,533,692",41 years,"2,468,085","80 years 723,049"
years,"3,269,557",42 years,"2,375,849","81 years 640,276"
years,"3,223,816",43 years,"2,325,572","82 years 566,548"
years,"3,179,441",44 years,"2,237,108","83 years 527,982"
years,"3,141,748",45 years,"2,262,796","84 years 477,178"
years,"3,162,691",46 years,"2,242,318","85 years 412,549"
years,"3,109,095",47 years,"2,139,385","86 years 350,655"
eIaAukYNe,"3,273,052",48 years,"2,222,969","87 years 306, 906"
years,"3,394,998",49 years,"2,163,709","88 years 236,314"
9 years,"3,760,120",50 years,"2,321,374","89 years 213,778"
10 years,"3,716,530",51 years,"2,347,068","90 years 175,900"
11 years,"3,580,644",52 years,"2,295,077","91 years 140,003"
12 years,"3,518,982",53 years,"2,363,152","92 years 101,492"
13 years,"3,643,189",54 years,"2,337,138","93 years 78,233"
14 years,"3,782,784",55 years,"2,367,597","94 years 60,964"
15 years,"4,059,898",56 years,"2,390,440","95 years 46,219"
16 years,"4,180,875",57 years,"2,329,790","96 years 32,789"
17 years,"4,223,848",58 years,"2,312,737","97 years 23,471"
18 years,"4,251,779",59 years,"2,330,373","98 years 16,215"
19 years,"4,451,724",60 years,"2,251,914","99 years 12,385"
20 years,"4,387,100",61 years,"2,160,937","100 years 9,663"
21 years,"4,285,763",62 years,"2,073,764","101 years 5,231"
22 years,"4,284,351",63 years,"2,008,093","102 years 3,886"
23 years,"4,199,711",64 years,"1,931,425","103 years 2,800"
24 years,"4,161,779",65 years,"1,913,402","104 years 2,015"
25 years,"4,116,218",66 years,"1,904,641","105 years 1,573"
26 years,"3,977,515",67 years,"1,813,987","106 years 1,276"
27 years,"3,931,620",68 years,"1,763,637","107 years 1,038"
28 years,"3,708,968",69 years,"1,678,740",108 years 883
29 years,"3,786,598",70 years,"1,621,476",109 years 852
30 years,"3,726,525",71 years,"1,516,900",110 years 819
31 years,"3,607,610",72 years,"1,439,723",111 years 623
32 years,"3,712,217",73 years,"1,371,235","112+ years 1,535"
33 years,"3,653,921",74 years,"1,261,994","Total 226,545,805"
34 years,"2,860,647",75 years,"1,208,272",
35 years,"2,902,331",76 years,"1,111,480",
36 years,"2,929,040",77 years,"1,028,927",
37 years,"2,982,533",78 years,"951,774",
38 years,"2,598,636",7 years.,"828,866",
32years,2552762,,"872,675",
,,, ,
,,,,
