0,1,2,3
42,Postnatal Day 4,Postnatal Day 7 Postnatal Day 14,Postnatal Day 20
TABLE6,Weight,Weight Weight,Weight
Mean Body Weit...,Relative,Relative Relative,Relative
in the 7-Week Peri:,Body to,Body to Body —_to,Body to
Postnatal Day 1,Weight Controls,Weight Controls Weight Controls,Veight Controls
Weight,(g) (%),(g) (%) (g) (%),(g) (%)
Relative,,,
Body to,,,
Concentration Weight Controls,,,
(ppm) No. (g) (%),,,
Male,,,
0,,,
250,,,
500,,,
"1,000.",,,
"2,000",,,
"4,000",,,
Female,,,
0,,,
250,,,
500,,,
"1,000.",,,
"2,000",,,
"4,000",,,
,,,
