per capita population Number of | inhabitants Retail Retail sales
GNP ($000) 1995 (mn) retail outlets per outlet sales per outlet
1995 (000) (Ecu bn) (Ecu 000)
Germany 27.5 81.9 415.3 196 373 898
France 25.0 58.1 343.4 169 292 850
UK 18.7 58.6 289.9 202 233 803
Italy 19.0 57.3 627.2 91 311 496
Spain 13.6 39.3 440.2 89 89 202
Netherlands 24.0 15.4 123.3 125 61 494
Belgium/Lux 25.7 10.6 110 92 33 300
Greece 8.2 10.4 170.7 61 25 147
Portugal 9.7 9.9 130.4 716 26 200
Sweden 23.8 8.8 52.8 167 29 547
Austria 26.9 8.1 37.7 214 31 822
Denmark 29.9 5.2 40.9 128 28 684
Finland 20.6 5.1 31.7 162 22 694
Ireland 14.7 3.6 35.9 101 12 334
EU1S5 Total 372.3 3236.5 115 1565 549
