[In thousands]
Grade
Year Total PK K 1 2 3 4 5 6
Actual
"1996 45,611 670 3,532 3,770 3,600 3,524 3,454 3,453 3,494"
"1997 46,127 695 3,503 3,755, 3,689 3,597 3,507 3,458 3,492"
"1998 46,539 729 3,443 3,727 3,681 3,696 3,592 3,520 3,497"
"1999 46,857 751 3,397 3,684 3,656 3,691 3,686, 3,604 3,564"
"2000 47,204 776 3,382 3,636 3,634 3,676 3,711 3,707 3,663"
"2001 47,672 865 3,379 3,614 3,593 3,653 3,695 3,727 3,769"
"2002 48,183 915 3,434 3,594 3,565 3,623 3,669 3,711 3,788"
"2003 48,540 950 3,503, 3,613 3,544 3,611 3,619 3,685, 3,772"
"2004 48,795 990 3,544 3,663 3,560 3,580 3,612 3,635, 3,735"
"2005 49,113 1,036 3,619 3,691 3,606 3,586, 3,578 3,633, 3,670"
"2006 49,316 1,084 3,631 3,751 3,641 3,627 3,586 3,602 3,660"
"2007 49,293 1,081 3,609 3,750 3,704 3,659 3,624 3,600 3,628"
"2008 49,266 1,180 3,640 3,708 3,699 3,708 3,647 3,629 3,614"
"2009 49,373 1,224 3,679 3,730 3,666 3,708 3,701 3,653 3,645"
"2010 49,484 1,279 3,682 3,754 3,701 3,686 3,711 3,718 3,682"
Projected
"2011 49,636 1,287 3,705 3,779 3,724 3,717 3,690 3,725 3,744"
"2012 49,828 1,296 3,733 3,804 3,749 3,741 3,721 3,703 3,752"
"2013 50,067 1,307 3,765 3,832 3,773 3,766 3,744 3,735, 3,730"
"2014 50,407 1,320 3,801 3,865, 3,802 3,790 3,770 3,758 3,761"
"2015 50,773 1,333 3,838 3,902 3,835 3,819 3,794 3,784 3,785"
"2016 51,146 1,346 3,876 3,941 3,871 3,852 3,822 3,808 3,811"
"2017 51,524 1,359 3,912 3,980 3,910 3,888 3,855 3,837 3,835"
"2018 51,880 1,370 3,946 4,017 3,948 3,927 3,892 3,870 3,864"
"2019 52,260 1,381 3,977 4,052 3,985 3,966 3,931 3,907 3,897"
"2020 52,688 1,391 4,006 4,085 4,020 4,003 3,970 3,946 3,935"
"2021 53,113 1,400 4,033 4,115 4,052 4,038 4,007 3,985 3,974"
