[In thousands]
Grade Elementary Secondary
Year 7 8 9 10 al 12 ungraded ungraded
Actual
"1996 3,464 3,403 3,801 3,323, 2,930 2,586, 399 208"
"1997 3,520 3,415 3,819 3,376 2,972 2,673 440 216"
"1998 3,530 3,480 3,856 3,382 3,021 2,722 449 214"
"1999 3,541 3,497 3,935 3,415, 3,034 2,782 415 205"
"2000 3,629 3,538 3,963 3,491 3,083 2,803 334 177"
"2001 3,720 3,616 4,012 3,528 3,174 2,863 304 159"
"2002 3,821 3,709 4,105 3,584 3,229 2,990 285 161"
"2003 3,841 3,809 4,190 3,675, 3,277 3,046 255 150"
"2004 3,818 3,825 4,281 3,750 3,369 3,094 215 122"
"2005 3,777 3,802 4,287 3,866 3,454 3,180 205 121"
"2006 3,716 3,766 4,260 3,882 3,551 3,277 170 110"
"2007 3,701 3,709 4,200 3,863, 3,558 3,375 139 92"
"2008 3,653 3,692 4,123 3,822 3,548 3,400 117 87"
"2009 3,642 3,652 4,081 3,810 3,542 3,433 119 90"
"2010 3,676 3,659 4,008 3,800 3,538, 3,472 77 42"
Projected
"2011 3,713 3,687 4,016 3,732 3,529 3,469 77 41"
"2012 3,775, 3,724 4,046 3,740 3,466 3,459 78 41"
"2013 3,783, 3,786 4,087 3,768 3,473 3,397 79 41"
"2014 3,761 3,794 4,155 3,805, 3,499 3,404 80 41"
"2015 3,793 3,772 4,164 3,869 3,534 3,430 81 41"
"2016 3,817 3,804 4,139 3,877 3,593 3,464 81 42"
"2017 3,843, 3,828 4,175, 3,855, 3,601 3,522 82 42"
"2018 3,868 3,854 4,201 3,887 3,580 3,530 83 43,"
"2019 3,897 3,879 4,229 3,912 3,610 3,509 84 43"
"2020 3,930 3,908 4,257 3,938, 3,633 3,539 84 44"
"2021 3,968 3,941 4,288 3,964 3,658 3,561 85 44"
