Race/ethnicity
Asian/ American ‘Two or
Pacific Indian/ more
Year Total White Black Hispanic Islander Alaska Native races
Actual
"1996 12,849 8,530 2,043, 1,608 526 141 al"
"1997 13,056 8,616 2,068 1,675 552 145 al"
"1998 13,195, 8,670 2,073 1,732 572 148 al"
"1999 13,371 8,719 2,106 1,808 587 151 al"
"2000 13,517 8,750 2,119 1,894 601 153 al"
"2001 13,736 8,777 2,173 2,008 619 158 al"
"2002 14,069 8,854 2,257 2,148 642 168 al"
"2003 14,339 8,884 2,334 2,282 663 177 al"
"2004 14,618 8,920 2,408 2,427 686 178 al"
"2005 14,909 8,954 2,490 2,570 709 186 al"
"2006 15,081 8,938 2,540 2,701 720 181 al"
"2007 15,087 8,776 2,571 2,821 736 183 -"
"2008 14,980 8,556 2,565, 2,874 746 179 59"
"2009 14,955, 8,401 2,540 2,994 757 179 84"
"2010 14,860 8,109 2,422 3,125 755 171 277"
Projected
"2011 14,787 7,982 2,373 3,212 767 168 286"
"2012 14,752 7,901 2,328 3,287 775 165 296"
"2013 14,766 7,844 2,305, 3,361 783 165 307"
"2014 14,905 7,821 2,322 3,473 805 167 318"
"2015 15,038 7,804 2,324 3,588, 822 168 332"
"2016 15,116 7,753 2,314 3,691 845 169 344"
"2017 15,195 7,713 2,290 3,794 874 170 353"
"2018 15,241 7,663 2,260 3,889 895 170 364"
"2019 15,304 7,640 2,266 3,925, 927 174 372"
"2020 15,410 7,640 2,283 3,969 958 178 381"
"2021 15,515, 7,633 2,315, 4,011 983 182 391"
"— Not available. Prior to 2008, “two or more races” was not an available category."
