Actual Projected
Region and state 2003-04 2004-05 2005-06 2006-07 2007-08 2008-09 2009-10 2010-11 2011-12 2012-13
"United States 2,753,438 2,799,250 2,815,544 2,893,045 3,001,337 3,039,015 3,068,550 3,103,540 3,100,510 3,092,290"
"Northeast 485,670 503,528 521,015 536,697 552,289 552,973 558,750 560,500 554,690 549,890"
"Connecticut 34,573 35,515 36,222» 37,541 38,419 34,968 += 38,120 38,450 37,100 36,460"
"Maine 13,278 13,077 12,950 13,151 14,350 14,093 «13,970 «14,030 «13,570 13,060"
"Massachusetts 58,326 59,665 61,272 63,903 65,197 65,258 64,040 63,820 64,210 63,530"
"New Hampshire 13,309 13,775 13,988 14,452 14,982 14,757 14,830 14,300 «14,310 += 14,060"
"New Jersey 83,826 86,502 90,049 93,013 94,994 95,085 96,510 95,200 94,280 93,880"
"New York 142,526 153,203 161,817 168,333 176,310 180,917 182,880 185,930 185,910 187,890"
"Pennsylvania 123,474 124,758 127,830 128,603 130,298 130,658 131,250 132,100 128,430 124,830"
"Rhode Island 9,258 9,881 10,108 10,384 10,347 10,028 10,090 9,880 10,020 9,650"
"Vermont 7,100 7,152 6779 7,317 7,392 7,209 7,070 6,790 6,860 6,530"
"Midwest 680,178 676,786 684,049 702,987 721,220 717,536 707,880 702,540 698,810 692,640"
"Illinois 124,763 123,615 126,817 130,220 135,143 131,670 132,200 132,670 136,650 135,750"
"Indiana 56,008 55,444 57,920 59,887 61,901 63,663 63,830 65,460 65,490 65,990"
"lowa 34,339 33,547 33,693 34,127 34,573 «33,926 = 34,580 33,710 33,500 32,580"
"Kansas 30,155 30,355 29,818 + 30,139: 30,737 = -30,368~=— 31,630 31,320 31,600 31,380"
"Michigan 98,823 101,582 102,582 111,838 115,183 112,742 113,820 110,300 107,020 107,150"
"Minnesota 59,096 58,391 58,898 59,497 60,409 59,729 60,400 59,720 58,770 57,250"
"Missouri 57,983 57,841 58,417 60,275 61,717 62,969 63,640 62,470 «62,310 «61,860"
"Nebraska 20,309 19,940 19,764 19,873 20,035 19,501 19,640 19,620 19,750 19,660"
"North Dakota 7,888 7,555 7,192 7,159 6,999 7,232 7,160 7,110 7,000 6,980"
"Ohio 119,029 116,702 117,356 117,658 120,758 122,203 107,900 108,010 105,130 104,260"
"South Dakota 9,001 8,585 8,589 8346 8582 8,123 8,240 8,550 8400 8,280"
"Wisconsin 62,784 63,229 63,003 63,968 65,183 65,410 64,840 63,600 63,190 61,500"
"South 946,808 953,206 962,327 986,801 1,031,773 1,068,270 1,087,000 1,108,150 1,111,310 1,120,870"
"Alabama 36,464 37,453 37,918 38,912 41,346 «42,082 «43,110 44,520 44,570 44,400"
"Arkansas 27,181 26,621 28,790 27,166 += 28,725 28,057 28,650 28,440 28,520 28,170"
"Delaware 6,951 6934 7,275 7,205 7,388 7,839 8,050 8,190 8,520 8,320"
"District of Columbia 3,031 «2,781 3,150 2,944 3,352 3,517 3,150 3,260 3,250 3,200"
"Florida 131,418 133,318 134,686 142,284 149,046 153,461 158,070 163,620 159,450 164,040"
"Georgia 68,550 70,834 73,498 77,829 83,505 88,003 89,730 92,160 90,130 91,980"
"Kentucky 37,787 38,399 38,449 «39,099 39,339 41,851 += 41,310 41,930 40,950 40,310"
"Louisiana 37,019 36,009 33,275 34,274 34,401 «35,622 «34,790 34,450 34,700 35,210"
"Maryland 52,870 54,170 55,536 57,564 59,171 58,304 58,560 57,900 58,760 58,560"
"Mississippi 23,735 23,523 23,848 «24,186 24,795 24,505 26,260 26,930 26,610 26,710"
"North Carolina 72,126 75,010 76,710 76,031 83,307 86,712 84,900 87,370 90,280 89,820"
"Oklahoma 36,799 36,227 36,497 37,100 37,630 «37,219 += 38,510 38,120 38,170 37,800"
"South Carolina 33,235 33,439 34,970 35,108 35,303 39,114 += 39,560 39,880 40,480 -—-39,960"
"Tennessee 46,096 47,967 50,880 54,502 57,486 60,368 61,500 62,520 61,470 60,180"
"Texas 244,165 239,717 240,485 241,193 252,121 264,275 273,050 279,970 285,530 292,940"
"Virginia 72,042 73,667 69,597 73,997 77,369 79,651 80,270 81,600 82,770 81,870"
"West Virginia 17,339 17,137 16,763 17,407 —*:17,489-«17,690 17,540 17,300 17,150 17,410"
"West 640,782 665,730 648,153 666,560 696,055 700,236 714,920 732,350 735,710 728,890"
"Alaska 7,236 6909 7,361 7,666 7,855 8,008 7,820 7,720 7,750 7,450"
"Arizona 45,508 59,498 54,091 55,954 61,667 62,374 64,800 66,490 64,670 61,830"
"California 343,480 355,217 343,515 356,641 374,561 372,310 375,070 386,220 390,270 387,300"
"Colorado 44,777 44,532 44,424 «45,628 «46,082 «47,459 «= 49,780 «51,820 52,580 52,830"
"Hawaii 10,324 10,813 10,922 11,063 11,613 11,508 10,860 11,070 11,150 10,670"
"Idaho 15,547 15,768 16,096 16,242 16,567 16,807 17,280 17,390 17,150 16,840"
"Montana 10,500 10,335 10,283 10,122 10,396 += 10,077 9,910 9,690 9,560 9,210"
"Nevada 15,201 15,740 16,455 17,149 18,815 19,904 22,190 24,990 25,790 25,680"
"New Mexico 17,892 17,353 17,822 16,131 18,264 17,931 18,660 19,080 19,080 18,840"
"Oregon 32,958 32,602 32,304 33,446 © 34,949 35,138 35,300 35,410 34,780 34,730"
"Utah 30,252 30,253 29,050 28,276 =. 28,167 30,463 «31,280 30,340 += 30,590 31,330"
"Washington 61,274 61,094 60,213 62,801 61,625 62,764 + 66,470 «66,580 66,720 66,790"
"Wyoming 5,833 5,616 5,527 5,441 5,494 5,493 5,510 5,570 5,630. 5,380"
