Projected—Continuea
Region and state 2013-14 2014-15 2015-16 2016-17 2017-18 2018-19 2019-20 2020-21 2021-22
"United States 3,037,040 3,043,290 3,066,000 3,096,730 3,148,670 3,155,320 3,136,780 3,163,350 3,183,360"
"Northeast 548,290 548,450 550,630 550,980 554,700 550,820 546,620 551,920 552,550"
"Connecticut 35,540 34,960 35,170 34,730 © 34,410 34,030: 33,190 33,910 33,110"
"Maine 12,640 12,530 12,600 12,380 12,300 12,250 12,030 12,000 12,200"
"Massachusetts 62,690 62,050 63,010 62,230 62,430 «62,130 «61,620 «62,060 ~—«6 2,010"
"New Hampshire 13,860 13,710 13,530 13,270 13,170 12,930 12,880 12,640 12,640"
"New Jersey 92,220 91,260 91,330 92,080 91,940 91,460 90,390 91,400 91,170"
"New York 193,480 197,730 198,150 198,570 200,720 198,170 198,050 198,800 197,120"
"Pennsylvania 122,330 120,950 121,560 123,540 125,360 124,920 123,700 126,440 129,430"
"Rhode Island 9,460 9,150 9,270 8,270 8,590 9,150 9,040 8,960 9,200"
"Vermont 6,070 6,110 6,030 5,920 5,770 5,780 5,730 5,710 5,680"
"Midwest 672,600 670,100 674,720 674,480 685,020 687,300 676,690 679,440 685,520"
"Illinois 130,340 129,730 130,450 129,400 132,620 133,660 132,270 132,180 131,130"
"Indiana 65,940 64,820 64,980 65,380 66,330 68,240 «65,520 «65,220 «66,520"
"lowa 32,310 32,350 32,670 «32,850 33,240 «= 33,040 «= 33,030: 33,290 33,540"
"Kansas 31,040 30,740 31,780 += 32,210 += 32,860» 33,140 = 33,010: 33,780 += 33,920"
"Michigan 100,060 100,910 99,920 98,670 99,620 98,160 95,110 93,710 94,400"
"Minnesota 56,320 56,520 56,570 57,270 58,380 59,470 59,210 61,240 62,200"
"Missouri 60,340 59,930 61,740 61,110 61,970 61,540 60,860 61,270 62,210"
"Nebraska 19,500 19,490 19,710 20,010 20,660 20,970 21,280» 21,570 22,280"
"North Dakota 6,980 6,930 7,050 7,010 6,700 7,110 7,130 7,570 7,950"
"Ohio 101,000 100,270 101,400 101,510 102,560 102,320 100,230 99,790 —- 99,990"
"South Dakota 8,300 8,270 8,140 8,300 8,340 8,170 8,320 8,520 8,860"
"Wisconsin 60,460 60,160 60,310 60,770 61,760 61,480 60,740 61,310 62,540"
"South 1,103,910 1,110,100 1,126,810 1,146,200 1,174,920 1,182,420 1,176,490 1,180,140 1,186,400"
"Alabama 42,920 43,440 43,980 44,730 45,840 45,440 44,260 © 44,090 44,660"
"Arkansas 28,540 28,880 28,980 29,500 29,720 30,050 29,880 29,890 29,990"
"Delaware 8,120 7,680 7,990 8,310 8,550 8,570 8,590 8,880 8,880"
"District of Columbia 2,970 2,860 2,790 2,710 2,850 2,800 2,600 2,470 2,520"
"Florida 160,580 162,940 161,020 163,780 165,240 165,980 163,090 161,340 164,090"
"Georgia 92,010 91,560 94,320 95,340 97,270 98,230 96,250 95,490 96,780"
"Kentucky 38,490 38,790 39,610 += 40,160 41,370 »= 41,490» 40,080 += 40,300 = 40,490"
"Louisiana 35,720 33,340 © 35,050 35,420 37,880 36,830 © 36,840 «= 36,360.36, 130"
"Maryland 56,990 56,390 56,410 55,620 56,880 56,180 58,350 59,010 _—60, 120"
"Mississippi 25,720 25,330 25,300 «25,840 = 26,800 = 26,010 25,820 25,210 —-25,890"
"North Carolina 88,040 88,870 +=: 90,870 «92,910 95,590 «97,550 «96,500 =: 96,670 -—s 88,260"
"Oklahoma 37,300 37,770 39,130» 39,390 += 40,270» 40,450» «40,780 = 41,540 «41,650"
"South Carolina 39,450 39,520 40,350 «44,180 = 42,880» «43,000» «41,930 = 41,930 «42,690"
"Tennessee 58,600 58,920 60,110 61,570 62,040 62,400 61,940 61,870 62,340"
"Texas 291,830 297,630 303,120 311,510 320,960 326,770 328,560 334,040 338,920"
"Virginia 79,900 79,520 80,780 81,390 83,490 83,660 83,680 84,220 85,760"
"West Virginia 16,740 16650 17,020 16,850 17,270 17,020 17,340 16,840 17,240"
"West 712,240 714,640 713,840 725,080 734,030 734,790 736,980 751,850 758,880"
"Alaska 7,390 7,380 7,370 7,670 7,710 7,750 7,690 7,900 7,990"
"Arizona 59,850 58,910 59,050 61,440 62,730 63,940 64,500 66,130 66,370"
"California 376,610 378,640 371,530 375,070 377,960 375,740 377,280 385,060 388,600"
"Colorado 51,330 51,790 53,030 54,300 56,210 57,010 57,590 59,290 59,110"
"Hawaii 10,530 10,300 10,390 10,250 10,640 10,030 10,500 10,20 10,700"
"Idaho 17,170 16,800 17,090 17,750 +=17,790~=—«-'17,950-—s-17,930 17,790 ~—17,830"
"Montana 9,220 9,040 9,060 9,140 9,040 9,270 9,260 9,360 9,580"
"Nevada 24,580 24,360 25,470 25,810 26,240 26,710 26,440 26,250 —-26,380"
"New Mexico 18,480 18,680 18,850 19,540 19,690 20,020 20,050» .20,130 20,550"
"Oregon 34,490 34,210 += 34,960 35,180 35,300 35,220 34,690 35,190 35,360"
"Utah 31,860 32,870 34,510 35,660 36,650 36,990 37,700 39,040 —39,830"
"Washington 65,310 66,150 66,860 67,520 68,260 68,320 67,430 68,880 70,300"
"Wyoming 5,430 5,510 5,670 5,760 5,800 5,830 5,940 6,210 6,280"
NOTE: Some data have been revised from previously published fiaures. Netail maw nat erin tm satate
