Actual 2003-04
Projected
Region and state to 2008-09 2008-09 to 2015-16 2015-16 to 2021-22 2008-09 to 2021-22
United States 10.4 0.9 47
Northeast 13.9 -0.4 -0.1
Connecticut 11 0.6 3
Maine 6.1 -13.4
Massachusetts 11.9 -5.0
New Hampshire 10.9 -14.3
New Jersey 13.4 -4.1
New York 26.9
Pennsylvania 5.8
Rhode Island 8.3
Vermont 1.5
Midwest 5.5
Illinois 5.5
Indiana 13.7
lowa 1.2
Kansas 0.7
Michigan 14.1
Minnesota 1
Missouri 8.6
Nebraska -4.0
North Dakota -8.3
Ohio 27
South Dakota -9.8
Wisconsin 4.2
South 12.8
Alabama 15.4
Arkansas 3.2
Delaware 12.8
District of Columbia 16.0
Florida 16.8
Georgia 28.4
Kentucky 10.8
Louisiana -3.8
Maryland 10.3
Mississippi 3.2
North Carolina 20.2
Oklahoma 11
South Carolina 17.7
Tennessee 31.0
Texas 8.2
Virginia 10.6
West Virginia 2.0
West 9.3
Alaska 10.7
Arizona 37.1
California 8.4
Colorado 6.0
Hawaii 11.5
Idaho 8.1
Montana -4.0
Nevada 30.9
New Mexico 0.2
Oregon 6.6
Utah 0.7
Washington 2.4
Wyoming 5.8
OTE: Calculations are base
d on unrounded numbers. Mean absolute percentage errors of public high school graduates by state and region can be
