‘Schools Sampled
Eligible schools in original Total students in
Schools in in original sample that Substitute schools that —_ participating Students
Education system original sample sample __ participated schools _ participated schools assessed
"Australia 290 284 275 5 280 6,709 6,126"
"Austria 160 158 158 0 158 4,976 4,670"
"Azerbaijan 170 169 142 27 169 5,098 4,881"
"Belgium (French)-BEL 150 150 115 12 127 3,910 3,727"
"Bulgaria 150 147 142 5 147 5,725 5,261"
"Canada 1,142 1,125 1,106 5 1,111 25,707 23,206"
"Chinese Taipei-CHN 150 150 150 0 150 4,376 4,293"
"Colombia 157 152 131 19 150 4,309 3,966"
"Croatia 152 152 150 2 152 5,097 4,587"
"Czech Republic 180 178 161 16 177 4,895 4,556"
"Denmark 240 236 207 25 232 4,994 4,594"
"England-GBR 150 148 109 20 129 4,243 3,927"
"Finland 150 146 141 4 145 4,914 4,640"
"France 175 175 170 4 174 4,638 4,438"
"Georgia 180 177 172 1 173 4,958 4,796"
"Germany 200 199 190 7 197 4,229 4,000"
"Hong Kong-CHN 154 150 130 2 132 4,189 3,875"
"Hungary 150 150 146 3 149 5,488. 5,204"
"Indonesia 158 158 158 0 158 5,049 4,791"
"Iran, Islamic Rep. Of 250 244 244 0 244 5,932 5,758"
"Ireland 152 151 148 3 151 4,849 4,524"
"Israel 153 153 150 2 152 4,579 4,186"
"Italy 205 205 166 36 202 4,529 4,189"
"Lithuania 160 154 145 9 154 5,140 4,661"
"Malta 99 96 96 0 96 3,958 3,598"
"Morocco 289 287 284 0 284 8,381 7,805"
"Netherlands 151 151 97 41 138 4,179 3,995,"
"New Zealand 201 199 180 12 192 6,192 5,644"
"Northern Ireland-GBR 160 160 100 36 136 3,942 3,586"
"Norway 150 145 85 35 120 3,921 3,190"
"Oman 338 333 327 0 327 10,840 10,394"
"Poland 150 150 150 0 150 5,316 5,005,"
"Portugal 150 150 133 15 148 4,428 4,085"
"Qatar 175 167 166 0 166 4,394 4,120"
"Romania 150 148 147 1 148 4,879 4,665"
"Russian Federation 202 202 202 0 202 4,693 4,461"
"Saudi Arabia 175 171 163 8 171 4,625 4,507"
"Singapore 176 176 176 0 176 6,687 6,367"
"Slovak Republic 200 198 187 10 197 5,933 5,630"
"Slovenia 202 201 193 2 195 4,674 4,512"
"Spain 314 314 308 4 312 9,223 8,580"
"Sweden 161 153 148 4 152 5,209 4,622"
"Trinidad and Tobago 150 150 149 0 149 4,190 3,948"
"United Arab Emirates 478 460 458 0 458 15,372 14,618"
"United States 450 437 349 21 370 14,253 12,726"
