Design ettect
Proportion 1.0 1.1 1.2 1.3 1.4 1.5 1.6
"0. 800 880 960 1,040 1,120 1,200 1,280"
0. 160 176 192 208 224 240 256
0. 80 88 96 104 112 120 128
0. 53 59 64 69 75 80 85
0. 40 44 48 52 56 60 64
0. 32 35 38 42 45 48 51
0. 30 33 36 39 42 45 48
0. 30 33 36 39 42 45 48
0. 30 33 36 39 42 45 48
0. 30 33 36 39 42 45 48
0. 30 33 36 39 42 45 48
0. 32 35 38 42 45 48 51
0. 40 44 48 52 56 60 64
0. 53 59 64 69 75 80 85
0. 80 88 96 104 112 120 128
0. 160 176 192 208 224 240 256
"0. 800 880 960 1,040 1,120 1,200 1,280"
Design effect
1.7 1.8 1.9 2.0 2.5 3.0 3.5
"0. 1,360 1,440 1,520 1,600 2,000 2,400 2,800"
0. 272 288 304 320 400 480 560
0. 136 144 152 160 200 240 280
0. 91 96 101 107 133 160 187
0. 68 72 76 80 100 120 140
0. 54 58 61 64 80 96 112
0. 51 54 57 60 75 90 105
0. 51 54 57 60 75 90 105
0. 51 54 57 60 75 90 105
0. 51 54 57 60 75 90 105
0. 51 54 57 60 75 90 105
0. 54 58 61 64 80 96 112
0. 68 72 76 80 100 120 140
0. 91 96 101 107 133 160 187
0. 136 144 152 160 200 240 280
0. 272 288 304 320 400 480 560
"0. 1,360 1,440 1,520 1,600 2,000 2,400 2,800"
