Age groups U.S. population
Proportion Proportion Total
total 20+ years
"Under 1 year 0.0156 3,533,692"
"1 - 2 years 0.0287 6,493,373"
"3 - 5 years 0.0419 9,483,880"
"6 - 11 years 0.0920 20,834,439"
"12 - 19 years 0.1418 32,113,079"
"20 - 29 years 0.1803 0.2650 40,839,623"
"30 - 39 years 0.1392 0.2046 31,526,222"
"40 - 49 years 0.1005 0.1477 22,759,163"
"50 - 59 years 0.1030 0.1514 23,325,286"
"60 - 69 years 0.0833 0.1225 18,870,102"
"70 - 79 years 0.0512 0.0752 11,591,846"
"80 years plus 0.0228 0.0336 5,175,100"
"226,545,805"
