Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,934,215,7,222,0.81,114,109,5
us-003,222,6,130,136,0.62,38,19,19
eu-021,1247,116,28,144,0.9,261,224,37
us-015,3284,42,18,60,0.98,134,44,90
eu-024,199,56,0,56,0.78,37,40,3
us-024,6370,2000,172,2172,0.75,1031,1356,325
us-040,111,23,1,24,0.82,24,19,5
us-019,2152,1004,26,1030,0.68,153,378,225
us-023,845,19,44,63,0.93,102,97,5
us-010,166,128,2,130,0.56,19,27,8
us-013,672,5,10,15,0.98,45,19,26
us-030,207,48,30,78,0.73,83,43,40
eu-016,624,49,13,62,0.91,32,155,123
us-008,361,0,0,0,1.0,51,39,12
eu-010,125,15,4,19,0.87,24,22,2
eu-015,1761,115,229,344,0.84,250,234,16
eu-002,69,66,8,74,0.48,36,33,3
us-009,945,15,53,68,0.93,144,108,36
us-011a,234,404,1,405,0.37,23,39,16
us-034,766,95,30,125,0.86,39,290,251
eu-012,492,302,9,311,0.61,171,202,31
eu-014,211,7,15,22,0.91,31,17,14
us-005,169,1,2,3,0.98,12,10,2
us-016,1387,58,6,64,0.96,46,16,30
us-021,513,11,48,59,0.9,62,73,11
us-022,253,57,5,62,0.8,54,66,12
us-029,281,79,1,80,0.78,18,36,18
us-028,312,159,6,165,0.65,27,57,30
eu-006,417,179,4,183,0.7,82,102,20
us-012,596,93,29,122,0.83,111,121,10
eu-011,161,22,296,318,0.34,39,30,9
us-026,465,31,20,51,0.9,77,81,4
eu-017,543,79,8,87,0.86,31,140,109
eu-009a,392,38,22,60,0.87,39,25,14
us-037,354,399,31,430,0.45,46,166,120
us-017,5504,1546,67,1613,0.77,1089,1451,362
eu-027,444,257,7,264,0.63,92,140,48
eu-003,902,22,23,45,0.95,128,63,65
us-025,6327,745,334,1079,0.85,892,987,95
eu-008,228,74,0,74,0.75,57,58,1
eu-001,356,2374,34,2408,0.13,134,392,258
eu-005,409,179,30,209,0.66,110,143,33
us-018,6263,5943,24,5967,0.51,839,2125,1286
us-007,1580,499,35,534,0.75,201,235,34
us-032,618,98,4,102,0.86,38,17,21
eu-023,237,119,0,119,0.67,22,40,18
eu-025,884,202,18,220,0.8,151,168,17
us-035a,2319,43,44,87,0.96,293,308,15
us-020,3944,10,110,120,0.97,443,825,382
eu-004,4015,607,40,647,0.86,978,851,127
eu-026,168,166,37,203,0.45,46,64,18
us-031a,387,1,1,2,0.99,57,46,11
eu-019,234,83,7,90,0.72,44,95,51
us-033,1249,73,20,93,0.93,158,172,14
us-014,649,0,334,334,0.66,94,36,58
us-002,2869,47,166,213,0.93,348,429,81
us-004,523,172,86,258,0.67,101,89,12
eu-022,215,199,26,225,0.49,52,71,19
us-001,1931,513,89,602,0.76,322,405,83
us-038,108,6,0,6,0.95,19,16,3
us-039,65,22,0,22,0.75,15,14,1
us-027,217,292,22,314,0.41,84,86,2
eu-020,433,84,2,86,0.83,61,53,8
eu-018,200,420,3,423,0.32,53,201,148
eu-013,691,61,42,103,0.87,97,71,26
us-036,865,122,10,132,0.87,28,14,14
us-006,100,5,1,6,0.94,14,12,2
Totals,72774,20920,2924,23844,0.76,10546,14114,4994
