Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,155,57,14,71,0.69,114,109,5
us-003,25,8,32,40,0.38,38,19,19
eu-021,205,56,39,95,0.68,261,224,37
us-015,541,40,15,55,0.91,134,44,90
eu-024,30,14,4,18,0.62,37,40,3
us-024,871,652,370,1022,0.46,1031,1356,325
us-040,22,4,1,5,0.81,24,19,5
us-019,196,332,194,526,0.27,153,378,225
us-023,123,17,25,42,0.75,102,97,5
us-010,29,37,4,41,0.41,19,27,8
us-013,94,8,8,16,0.85,45,19,26
us-030,28,24,36,60,0.32,83,43,40
eu-016,123,32,41,73,0.63,32,155,123
us-008,66,0,0,0,1.0,51,39,12
eu-010,24,4,3,7,0.77,24,22,2
eu-015,169,161,168,329,0.34,250,234,16
eu-002,14,19,7,26,0.35,36,33,3
us-009,136,13,22,35,0.8,144,108,36
us-011a,25,67,17,84,0.23,23,39,16
us-034,255,37,50,87,0.75,39,290,251
eu-012,116,90,17,107,0.52,171,202,31
eu-014,31,5,7,12,0.72,31,17,14
us-005,33,3,2,5,0.87,12,10,2
us-016,266,15,12,27,0.91,46,16,30
us-021,88,24,31,55,0.62,62,73,11
us-022,66,20,7,27,0.71,54,66,12
us-029,39,28,2,30,0.57,18,36,18
us-028,32,49,7,56,0.36,27,57,30
eu-006,75,47,8,55,0.58,82,102,20
us-012,113,62,26,88,0.56,111,121,10
eu-011,32,12,77,89,0.26,39,30,9
us-026,67,23,15,38,0.64,77,81,4
eu-017,101,39,42,81,0.55,31,140,109
eu-009a,49,18,14,32,0.6,39,25,14
us-037,68,140,13,153,0.31,46,166,120
us-017,1076,401,69,470,0.7,1089,1451,362
eu-027,64,109,20,129,0.33,92,140,48
eu-003,164,21,23,44,0.79,128,63,65
us-025,551,476,487,963,0.36,892,987,95
eu-008,44,21,8,29,0.6,57,58,1
eu-001,87,543,38,581,0.13,134,392,258
eu-005,83,69,28,97,0.46,110,143,33
us-018,986,1234,144,1378,0.42,839,2125,1286
us-007,196,202,60,262,0.43,201,235,34
us-032,102,22,8,30,0.77,38,17,21
eu-023,44,25,0,25,0.64,22,40,18
eu-025,133,105,28,133,0.5,151,168,17
us-035a,437,34,34,68,0.87,293,308,15
us-020,844,78,154,232,0.78,443,825,382
eu-004,801,244,77,321,0.71,978,851,127
eu-026,29,57,22,79,0.27,46,64,18
us-031a,70,3,5,8,0.9,57,46,11
eu-019,59,36,13,49,0.55,44,95,51
us-033,147,34,32,66,0.69,158,172,14
us-014,121,6,67,73,0.62,94,36,58
us-002,484,54,83,137,0.78,348,429,81
us-004,65,52,52,104,0.38,101,89,12
eu-022,31,54,21,75,0.29,52,71,19
us-001,355,480,137,617,0.37,322,405,83
us-038,21,2,0,2,0.91,19,16,3
us-039,12,6,0,6,0.67,15,14,1
us-027,26,72,36,108,0.19,84,86,2
eu-020,61,23,13,36,0.63,61,53,8
eu-018,26,179,11,190,0.12,53,201,148
eu-013,111,40,28,68,0.62,97,71,26
us-036,115,54,46,100,0.53,28,14,14
us-006,14,1,1,2,0.88,14,12,2
Totals,11666,6894,3075,9969,0.58,10546,14114,4994
