0,1,2,3,4,5,6,7,8,9
Carbon dioxide (CO2) Hydro-fluorocarbons (HFCS) Methane (CH4) Nitrous oxide (N20) Perfluorocarbons (PFCS) Sulphur hexafluoride (SF6),to air,Ti,to air,to water,FOR RI,FOR,to land kg/year,to land kg/year,to lanc
Ammonia (NH3) Carbon monoxide (CO) Chlorine and inorganic compounds (as HCI) Chlorofluorocarbons (CFCS) Flourine and inorganic compounds (as HF) Halons,kg/year 100 million,to air,kg/year 10 000,kg/year 5,to water kg/year,to water,5,,kg/year
Hydrochlorofluorocarbons (HCFCS) Hydrogen Cyanide (HCN) Nitrogen oxides (NOx/NO2) Non-methane volatile organic compounds (NMVOC) Sulphur oxides (SOx/SO2),100,kg/year 20,500 000,5,,kg/year,50,,
Arsenic and compounds (as As) Cadmium and compounds (as Cd) Chromium and compounds (as Cr) Copper and compounds (as Cu) Lead and compounds (as Pb) Mercury and compounds (as Hg) Nickel and compounds (as Ni) Zinc and compounds (as Zn),100 000,10,10 000,50,,,50,,
,10 000,100,1,50,,,20,,
,100,100,5 000,20,,,20,,
,50,200,1,1,,,100,,
,,10,1,20,,,,,
,,50,200,100,,,,,
,,200,100 000,,,,,,
,,,100 000,,,,,,
,,,150 000,,,,,,
