0,1,2,3
Nestle,World food,1 otal sales in EU 100d,Markets in which firm is one
Philip Morris,sales,manufacturing (bn ecus),of the 5 leaders
Unilever,($US bn),13.1,(NACE 3 digit)
ConAgra Pepsico Cargill Соса-Cola,38.8,11.3,"412,413,414,417,421,423,428"
Danone,33.4,14.6,"413,417,421,423,429"
Archer Daniels,26.7,2.4,"411,412,414,415,421"
Mars,24.8,1.8,411
Grand Metropolitan,19.1,8.9,428
IBP,18.7,3.1,"427,428,423,413,417 419"
Kinn,18.0,2.4,"421,422"
CPC International,14.2,1.6,"413,424"
Anheuser-Busch,13.3,1.3,"418,423"
Sara Lee,13,1.5,423
ABF,12.7,3.0,"416,418,419,420"
Heinz,12.7,2.2,423
Asahi Breweries,11.6,,428
Eridania Beghin-Say,9.8,,"424,427"
Nabisco,9.6,,
Novartis,9.4,,
Cadbury-Schweppes Campbell Soup Guinness,9.2,,
,9.1,,
,9.1,,
,9.1,,
,8.3,,
,8.1,,
,7.7,,
,7.7,,
,7.6,,
