0,1,2,3,4
Air passengers rights,ree movement of,IEnquiries,Treaty reform / IGC / Lisbon Treaty,IEnquiries
spain,persons / workers Spain,153,Germany,91
Germany,IEnquiries,119,Spain,85
Jnited Kingdom,268,114,United Kingdom Belgium,74
France,233,99,France,56
taly,Germany,82,Italy Netherlands,46
Vetherlands,139,49,Ireland,37
3elgium Portugal,United Kingdom,45,Austria,37
Austria,136,40,Sweden,29
Finland,France,26,Portugal Finland,17
Greece,Italy Belgium Netherlands Greece,23,Denmark,16
reland,92,22,Greece,11
Denmar,79,20,Luxembourg,9
Sweden,66,10,Total EU-15,4.
.uxembourg,44,2,Poland,522
Total EU-15,28,813,Czech Republic,29
Hungary,Portugal,32,Romania,13
Romania,25,30,Суprus,3
Cyprus Bulgaria Czech Republic,Ireland,22,Hungary,2
Estonia,Austria Sweden,20,Bulgaria,1
Poland,22,12,Lithuania,97
Malta,14,11,Latvia,40
.atvia,12,11,Estonia,196
Slovakia,Finland,8,Slovakia,855
slovenia,Denmark |Luxembourg,4,Slovenia,
Total EU-12,11,2,Malta,
non-EU,1.178,1,Total EU-12,
Jnspecified,|Total EU-15 Bulgaria,159,non-EU,
Grand Total,17,102,Unspecified,
,16,182,Grand Total,
,Romania,1.256,,
,12,,,
,Cyprus,,,
,Poland,,,
,Czech Republic Hungary Latvia Slovakia,,,
,7,,,
,7,,,
,3,,,
,Lithuania,,,
,3,,,
,Estonia,,,
,2,,,
,Slovenia,,,
,88,,,
,Malta,,,
,|Total EU-12 non-EU,,,
,97,,,
,363,,,
,Unspecified drand Total,,,
,1.726,,,
