0,1,2,3,4
Region and state,Actual 2003-04,2008-09 to 2015-16,Projec ed,2008–09 to 2021-22
United States,to 2008–09,0.9,2015-16 to 2021-22,4.7
Northeast,10.4,-0.4,3.8,-0.1
Connecticut,13.9,0.6,0.3,-5.3
Maine,1.1,-10.6,-5.9,-13.4
Massachusetts New Hampshire New Jersey New York,6.1,-3.4,-3.2 -1.6,-5.0
Pennsylvania Rhode Island,11.9,-8.3,-6.6,-14.3
Vermont,10.9,-3.9,-0.2,-4.1
Midwest,13.4,9.5,-0.5,9.0
Illinois,26.9,-7.0,6.5,-0.9
Indiana,5.8,-7.6,-0.8 -5.8,-8.3
lowa,8.3,-16.4,1.6,-21.2
Kansas,1.5,-6.0,0.5,-4.5
Michigan Minnesota,5.5,-0.9,2.4,-0.4
Missouri,5.5,2.1,2.7,4.5
Nebraska,13.7,-3.7,6.7,-1.1
North Dakota,-1.2,4.6 -11.4,-5.5,11.7
Ohio,0.7,-5.3,10.0,-16.3
South Dakota,14.1,-2.0,0.8,4.1
Wisconsin,1.1,1.1,13.0,-1.2
South,8.6,-2.5,12.8,14.3
Alabama,-4.0,-17.0,-1.4,9.9
Arkansas,-8.3,0.2,8.8,-18.2
Delaware,2.7,-7.8,3.7,9.1
District of Colum.ɔia,-9.8,5.5,5.3,-4.4
Florida,4.2,4.5,1.5,11.1
Georgia Kentucky Louisiana Maryland Mississippi North Carolina,12.8,3.3,3.5,6.1
Oklahoma,15.4,1.9,11.1,6.9
South Carolina,3.2,-20.7,-9.7,13.3
Tennessee,12.8,4.9,1.9,-28.3
Техas,16.0,7.2,1.9,6.9
Virginia West Virginia West,16.8,-5.4,2.2,10.0 -3.3
Alaska,28.4,-1.6,3.1,1.4
Arizona California,10.8,-3.2,6.6,3.1
Colorado,-3.8,3.2,2.3,5.7
Hawaii Idaho,10.3,4.8,-2.9,1.8
Montana,3.2,5.1,6.4,11.9
Nevada,20.2,3.2,5.8,9.1
New Mexico,1.1,-0.4,3.7,3.3
Oregon Utah,17.7,14.7,11.8,28.2
Washington Wyoming,31.0,1.4,6.2,7.7
OTE,8.2,-3.8,1.3,-2.5
,10.6,1.9,6.3,8.4
,2.0,-8.0,8.4,-0.2
,9.3,-5.3,12.4,6.4
,10.7,-0.2,4.6,4.4
,37.1,11.7,11.5,24.5
,8.4,-9.7,3.0,-7.0
,6.0,1.7,4.3,6.1
,11.5,-10.1,5.7,-4.9
,8.1,28.0,3.6,32.5
,-4.0,5.1,9.0,14.6
,30.9,-0.5,1.1,0.6
,0.2,13.3,15.4,30.7
,6.6,6.5,5.1,12.0
,0.7,3.2,10.8,14.3
,2.4,,,an be
,-5.8,,,
