0,1,2,3,4,5,6,7,8,9
mentary and secondary schools arten-12 enrollment en-8 enrollment,1,0.6,3,1.1,1.3,u 3),8,9.,10
nt,0.3,0.6,0.8,1.3,1.4,7,1.9,2.3,2.6
duates,0.3,0.7,1.0,1.1,1.2,1.4,2.4 2.2,2.8,3.3
secondary teachers benditures,0.4,1.0,0.9,1.6,1.5,1.6,3.7,2.4,2.5
penditures per pupil in fall enrollment,1.0,1.4,1.5,2.2,2.8,1.6,4.3,4.3,4.3
ementary and secondary schools,0.8,2.1,1.7,2.1,2.6,1.9,4.1,5.0,5.9
arten-12 enrollment,1.3,2.1,2.0,2.0,2.9,1.5,4.6,4.0,4.0
"ergarten-8 enrollment ""ollment",1.3,4.6,2.0,7.2,7.7,1.8,9.4,5.2,5.2
ol graduates,3.4,4.9,3.7,8.0,9.2,2.0,10.4,8.1,6.3
Postsecondary degree-granting institutions,3.5,3.8,4.1,4.3,2.8,2.7,6.1,10.2,7.9
Total enrollment,3.0,0.9,2.3,2.8,5.0,3.4,4.8,1.3,1.3
Men,0.9,2.6,1.6,4.7,5.3,3.9,9.4,1.6,1.6
Women,1.7,3.0,3.6,5.5,6.3,3.3,9.8,11.7,13.1
4-year institutions 2-year institutions White,1.7,2.6,4.2,4.3,4.6,3.9,9.0,11.7,13.3
Black or African American,1.8,3.0,3.7,5.4,6.0,3.6,10.6,11.7,12.9
Hispanic or Latino Asian/Pacific Islander,1.8,3.2,4.0,4.8,5.0,4.3,7.1,13.1,14.8
American Indian/Alaska Native,2.2,2.4,4.2,5.5,6.7,10.6,o o o o,9.4,10.1
Nonresident alien,1.1,8.8,3.9,15.8,19.0,9.3,,,
,4.2,8.6,12.5,15.5,18.9,12.1,,,
,4.2,5.0,12.1,7.0,6.0,10.6,,,
,2.6,4.1,5.7,3.3,2.4,5.8,,,
,5.2 2.7,4.8,5.6,9.5,7.3,5.7,,,
,,(o o co o,7.8,,,6.2,,,
,,O o o O N T 0 o O,O NN O,,,4.9,,,
,,,,,,6.2,,,
,,,,,,7.6,,,
,,,,,,7.0,,,
,,,,,,8.1,,,
,,,,,,5.6,,,
,,,,,,7.2,,,
,,,,,,7.0,,,
,,,,,,8.5,,,
,,,,,,5.0,,,
,,,,,,5.9,,,
,,,,,,7.4,,,
,,,,,,20.5,,,
,,,,,,22.1,,,
,,,,,,4.7,,,
,,,,,,5.0,,,
,,,,,,2.1,,,
,,,,,,|| |,,,
,,,,,,NO cO O ot L0 TENO,,,
