Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,176,36,7,43,0.8,91,109,18
us-003,30,3,28,31,0.49,21,19,2
eu-021,223,38,1,39,0.85,194,224,30
us-015,538,43,11,54,0.91,71,44,27
eu-024,44,0,0,0,1.0,39,40,1
us-024,1175,348,213,561,0.68,1204,1356,152
us-040,23,3,0,3,0.88,18,19,1
us-019,401,127,218,345,0.54,313,378,65
us-023,131,9,19,28,0.82,101,97,4
us-010,57,9,31,40,0.59,31,27,4
us-013,97,5,8,13,0.88,28,19,9
us-030,44,8,11,19,0.7,49,43,6
eu-016,118,37,14,51,0.7,125,155,30
us-008,65,1,1,2,0.97,34,39,5
eu-010,27,1,1,2,0.93,19,22,3
eu-015,276,54,108,162,0.63,216,234,18
eu-002,33,0,12,12,0.73,41,33,8
us-009,144,5,14,19,0.88,114,108,6
us-011a,63,29,20,49,0.56,43,39,4
us-034,270,22,349,371,0.42,277,290,13
eu-012,128,78,11,89,0.59,135,202,67
eu-014,30,6,7,13,0.7,18,17,1
us-005,36,0,0,0,1.0,11,10,1
us-016,264,17,14,31,0.89,16,16,0
us-021,98,14,24,38,0.72,70,73,3
us-022,86,0,0,0,1.0,67,66,1
us-029,42,25,0,25,0.63,5,36,31
us-028,50,31,4,35,0.59,31,57,26
eu-006,105,17,1,18,0.85,76,102,26
us-012,143,32,25,57,0.72,117,121,4
eu-011,34,10,74,84,0.29,36,30,6
us-026,68,22,14,36,0.65,22,81,59
eu-017,115,25,14,39,0.75,122,140,18
eu-009a,52,15,26,41,0.56,22,25,3
us-037,68,140,12,152,0.31,47,166,119
us-017,1425,52,16,68,0.95,714,1451,737
eu-027,143,30,6,36,0.8,106,140,34
eu-003,174,11,6,17,0.91,100,63,37
us-025,672,355,326,681,0.5,687,987,300
eu-008,60,5,3,8,0.88,56,58,2
eu-001,491,139,21,160,0.75,241,392,151
eu-005,102,50,10,60,0.63,102,143,41
us-018,2021,199,135,334,0.86,958,2125,1167
us-007,256,142,19,161,0.61,60,235,175
us-032,104,20,8,28,0.79,20,17,3
eu-023,49,20,0,20,0.71,11,40,29
eu-025,186,52,9,61,0.75,146,168,22
us-035a,462,9,2,11,0.98,326,308,18
us-020,824,98,125,223,0.79,808,825,17
eu-004,851,194,33,227,0.79,692,851,159
eu-026,58,28,25,53,0.52,43,64,21
us-031a,70,3,5,8,0.9,47,46,1
eu-019,58,37,12,49,0.54,64,95,31
us-033,152,29,47,76,0.67,159,172,13
us-014,126,1,61,62,0.67,50,36,14
us-002,495,43,54,97,0.84,323,429,106
us-004,96,21,6,27,0.78,53,89,36
eu-022,66,19,10,29,0.69,56,71,15
us-001,407,428,73,501,0.45,295,405,110
us-038,23,0,1,1,0.96,18,16,2
us-039,18,0,0,0,1.0,14,14,0
us-027,66,32,13,45,0.59,60,86,26
eu-020,78,6,10,16,0.83,30,53,23
eu-018,58,147,11,158,0.27,59,201,142
eu-013,127,24,13,37,0.77,66,71,5
us-036,133,36,29,65,0.67,18,14,4
us-006,14,1,1,2,0.88,12,12,0
Totals,15119,3441,2382,5823,0.73,10218,14114,4212
