Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,197,15,7,22,0.9,110,109,1
us-003,29,4,23,27,0.52,16,19,3
eu-021,253,8,1,9,0.97,204,224,20
us-015,539,42,8,50,0.92,67,44,23
eu-024,42,2,0,2,0.95,39,40,1
us-024,1269,254,213,467,0.73,1277,1356,79
us-040,26,0,7,7,0.79,21,19,2
us-019,445,83,293,376,0.54,308,378,70
us-023,134,6,28,34,0.8,90,97,7
us-010,58,8,43,51,0.53,33,27,6
us-013,102,0,28,28,0.78,22,19,3
us-030,45,7,7,14,0.76,45,43,2
eu-016,116,39,15,54,0.68,124,155,31
us-008,56,10,1,11,0.84,31,39,8
eu-010,23,5,1,6,0.79,18,22,4
eu-015,277,53,99,152,0.65,211,234,23
eu-002,32,1,13,14,0.7,39,33,6
us-009,148,1,15,16,0.9,117,108,9
us-011a,88,4,2,6,0.94,37,39,2
us-034,267,25,370,395,0.4,270,290,20
eu-012,191,15,19,34,0.85,203,202,1
eu-014,35,1,8,9,0.8,16,17,1
us-005,23,13,0,13,0.64,7,10,3
us-016,275,6,8,14,0.95,15,16,1
us-021,107,5,29,34,0.76,76,73,3
us-022,82,4,0,4,0.95,64,66,2
us-029,65,2,0,2,0.97,27,36,9
us-028,79,2,1,3,0.96,56,57,1
eu-006,119,3,0,3,0.98,88,102,14
us-012,168,7,20,27,0.86,133,121,12
eu-011,44,0,74,74,0.37,39,30,9
us-026,67,23,6,29,0.7,17,81,64
eu-017,113,27,15,42,0.73,121,140,19
eu-009a,55,12,18,30,0.65,20,25,5
us-037,204,4,24,28,0.88,179,166,13
us-017,1427,50,48,98,0.94,702,1451,749
eu-027,147,26,13,39,0.79,111,140,29
eu-003,174,11,1,12,0.94,94,63,31
us-025,731,296,303,599,0.55,702,987,285
eu-008,60,5,3,8,0.88,57,58,1
eu-001,501,129,21,150,0.77,243,392,149
eu-005,152,0,9,9,0.94,138,143,5
us-018,2081,139,218,357,0.85,975,2125,1150
us-007,257,141,1,142,0.64,58,235,177
us-032,124,0,1,1,0.99,18,17,1
eu-023,52,17,0,17,0.75,29,40,11
eu-025,205,33,4,37,0.85,154,168,14
us-035a,459,12,1,13,0.97,319,308,11
us-020,822,100,163,263,0.76,794,825,31
eu-004,956,89,18,107,0.9,812,851,39
eu-026,79,7,79,86,0.48,61,64,3
us-031a,70,3,4,7,0.91,46,46,0
eu-019,52,43,14,57,0.48,59,95,36
us-033,154,27,33,60,0.72,151,172,21
us-014,127,0,77,77,0.62,48,36,12
us-002,506,32,76,108,0.82,321,429,108
us-004,113,4,1,5,0.96,58,89,31
eu-022,78,7,0,7,0.92,62,71,9
us-001,420,415,79,494,0.46,308,405,97
us-038,20,3,0,3,0.87,16,16,0
us-039,17,1,0,1,0.94,13,14,1
us-027,92,6,14,20,0.82,85,86,1
eu-020,68,16,6,22,0.76,24,53,29
eu-018,132,73,26,99,0.57,143,201,58
eu-013,141,10,44,54,0.72,75,71,4
us-036,153,16,21,37,0.81,13,14,1
us-006,13,2,0,2,0.87,11,12,1
Totals,16156,2404,2674,5078,0.78,10840,14114,3572
